category,informationType,informativeness,sharing,age,gender,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,imagePath,originCategory,datasetName,id,bbox
Car,0,6,1,44,Male,CrowdWorks,8,7,9,5,10,0bc24867cc06ebb6.jpg,Car,OpenImages,0bc24867cc06ebb6_2286689_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,6,0,44,Male,CrowdWorks,8,7,9,5,10,0bc24867cc06ebb6.jpg,Vehicle registration plate,OpenImages,0bc24867cc06ebb6_2286689_Vehicle registration plate,"[0, 0, 0, 0]"
flag,1,4,2,24,Male,CrowdWorks,2,3,4,8,3,12145.jpg,flag,LVIS,12145_junya2548_flag,"[0, 0, 0, 0]"
Girl,1,1,0,27,Male,CrowdWorks,10,7,8,3,10,146316cdeb2aef2a.jpg,Girl,OpenImages,146316cdeb2aef2a_3741082_Girl,"[0, 0, 0, 0]"
Person,1,1,0,27,Male,CrowdWorks,10,7,8,3,10,146316cdeb2aef2a.jpg,Person,OpenImages,146316cdeb2aef2a_3741082_Person,"[0, 0, 0, 0]"
Human face,0,6,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human face,OpenImages,00a42a80e5e8d194_aucgn207_Human face,"[0, 0, 0, 0]"
Human hair,0,4,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human hair,OpenImages,00a42a80e5e8d194_aucgn207_Human hair,"[0, 0, 0, 0]"
Girl,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Girl,OpenImages,00a42a80e5e8d194_aucgn207_Girl,"[0, 0, 0, 0]"
Human nose,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human nose,OpenImages,00a42a80e5e8d194_aucgn207_Human nose,"[0, 0, 0, 0]"
Clothing,2,4,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Clothing,OpenImages,00a42a80e5e8d194_aucgn207_Clothing,"[0, 0, 0, 0]"
Human body,0,4,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human body,OpenImages,00a42a80e5e8d194_aucgn207_Human body,"[0, 0, 0, 0]"
Human head,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human head,OpenImages,00a42a80e5e8d194_aucgn207_Human head,"[0, 0, 0, 0]"
Human eye,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human eye,OpenImages,00a42a80e5e8d194_aucgn207_Human eye,"[0, 0, 0, 0]"
Human mouth,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Human mouth,OpenImages,00a42a80e5e8d194_aucgn207_Human mouth,"[0, 0, 0, 0]"
Woman,0,5,1,58,Male,CrowdWorks,3,5,6,9,5,00a42a80e5e8d194.jpg,Woman,OpenImages,00a42a80e5e8d194_aucgn207_Woman,"[0, 0, 0, 0]"
Human face,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human face,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human face,"[0, 0, 0, 0]"
Human hair,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human hair,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human hair,"[0, 0, 0, 0]"
Musical instrument,2,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Musical instrument,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Musical instrument,"[0, 0, 0, 0]"
Girl,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Girl,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Girl,"[0, 0, 0, 0]"
Human nose,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human nose,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human nose,"[0, 0, 0, 0]"
Clothing,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Clothing,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Clothing,"[0, 0, 0, 0]"
Human body,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human body,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human body,"[0, 0, 0, 0]"
Human head,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human head,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human head,"[0, 0, 0, 0]"
Human eye,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human eye,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human eye,"[0, 0, 0, 0]"
Human mouth,3,4,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Human mouth,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Human mouth,"[0, 0, 0, 0]"
Woman,2,5,2,27,Female,Prolific,6,9,10,4,8,00a42a80e5e8d194.jpg,Woman,OpenImages,00a42a80e5e8d194_5f08714e72b0f2070a08f37d_Woman,"[0, 0, 0, 0]"
Dog,0,2,2,41,Female,CrowdWorks,3,6,5,7,8,01d430b8e65ee981.jpg,Dog,OpenImages,01d430b8e65ee981_2978821_Dog,"[0, 0, 0, 0]"
Girl,0,5,1,43,Male,CrowdWorks,2,6,6,6,7,014d85b26445629d.jpg,Girl,OpenImages,014d85b26445629d_3247790_Girl,"[0, 0, 0, 0]"
Person,0,4,0,43,Male,CrowdWorks,2,6,6,6,7,014d85b26445629d.jpg,Person,OpenImages,014d85b26445629d_3247790_Person,"[0, 0, 0, 0]"
Woman,1,4,0,43,Male,CrowdWorks,2,6,6,6,7,014d85b26445629d.jpg,Woman,OpenImages,014d85b26445629d_3247790_Woman,"[0, 0, 0, 0]"
Man,0,4,0,43,Male,CrowdWorks,2,6,6,6,7,014d85b26445629d.jpg,Man,OpenImages,014d85b26445629d_3247790_Man,"[0, 0, 0, 0]"
ring,3,3,1,46,Female,Prolific,6,6,10,5,7,163682.jpg,ring,LVIS,163682_595e7974af78da0001a21c3a_ring,"[0, 0, 0, 0]"
laptop_computer,2,4,0,46,Male,CrowdWorks,3,6,3,7,5,127558.jpg,laptop_computer,LVIS,127558_932983_laptop_computer,"[0, 0, 0, 0]"
drawer,2,2,0,46,Male,CrowdWorks,3,6,3,7,5,127558.jpg,drawer,LVIS,127558_932983_drawer,"[0, 0, 0, 0]"
plastic_bag,1,3,2,51,Female,Prolific,6,8,8,7,7,127558.jpg,plastic_bag,LVIS,127558_5c4782d9cae0ab000188d2b4_plastic_bag,"[0, 0, 0, 0]"
Human face,0,6,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Human face,OpenImages,24b14dbf64eeced1_5003791_Human face,"[0, 0, 0, 0]"
Furniture,1,2,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Furniture,OpenImages,24b14dbf64eeced1_5003791_Furniture,"[0, 0, 0, 0]"
Building,1,4,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Building,OpenImages,24b14dbf64eeced1_5003791_Building,"[0, 0, 0, 0]"
Person,0,6,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Person,OpenImages,24b14dbf64eeced1_5003791_Person,"[0, 0, 0, 0]"
Human head,0,6,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Human head,OpenImages,24b14dbf64eeced1_5003791_Human head,"[0, 0, 0, 0]"
Human eye,0,1,2,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Human eye,OpenImages,24b14dbf64eeced1_5003791_Human eye,"[0, 0, 0, 0]"
Mammal,0,6,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Mammal,OpenImages,24b14dbf64eeced1_5003791_Mammal,"[0, 0, 0, 0]"
Boy,3,6,1,47,Male,CrowdWorks,5,7,6,6,8,24b14dbf64eeced1.jpg,Boy,OpenImages,24b14dbf64eeced1_5003791_Boy,"[0, 0, 0, 0]"
Human face,0,6,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human face,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human face,"[0, 0, 0, 0]"
Furniture,2,3,2,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Furniture,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Furniture,"[0, 0, 0, 0]"
Human leg,0,4,2,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human leg,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human leg,"[0, 0, 0, 0]"
Building,4,4,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Building,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Building,"[0, 0, 0, 0]"
Human nose,0,3,0,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human nose,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human nose,"[0, 0, 0, 0]"
Human body,0,3,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human body,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human head,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human head,"[0, 0, 0, 0]"
Human eye,0,6,0,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human eye,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human eye,"[0, 0, 0, 0]"
Human hand,0,5,0,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Human hand,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Human hand,"[0, 0, 0, 0]"
Mammal,0,5,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Mammal,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Mammal,"[0, 0, 0, 0]"
Boy,0,6,1,23,Male,Prolific,7,8,6,5,9,24b14dbf64eeced1.jpg,Boy,OpenImages,24b14dbf64eeced1_63469aaeaa705b70f44eea65_Boy,"[0, 0, 0, 0]"
toy,0,2,1,50,Male,CrowdWorks,8,7,6,6,6,246077.jpg,toy,LVIS,246077_4549143_toy,"[0, 0, 0, 0]"
teddy_bear,1,1,2,50,Male,CrowdWorks,8,7,6,6,6,246077.jpg,teddy_bear,LVIS,246077_4549143_teddy_bear,"[0, 0, 0, 0]"
Human hair,2,2,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Human hair,OpenImages,02b7e70979560df7_517742_Human hair,"[0, 0, 0, 0]"
Cart,3,2,2,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Cart,OpenImages,02b7e70979560df7_517742_Cart,"[0, 0, 0, 0]"
Horse,2,4,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Horse,OpenImages,02b7e70979560df7_517742_Horse,"[0, 0, 0, 0]"
Person,0,6,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Person,OpenImages,02b7e70979560df7_517742_Person,"[0, 0, 0, 0]"
Clothing,2,3,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Clothing,OpenImages,02b7e70979560df7_517742_Clothing,"[0, 0, 0, 0]"
Mammal,1,5,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Mammal,OpenImages,02b7e70979560df7_517742_Mammal,"[0, 0, 0, 0]"
Vehicle,2,4,1,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Vehicle,OpenImages,02b7e70979560df7_517742_Vehicle,"[0, 0, 0, 0]"
Mule,0,5,1,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Mule,OpenImages,02b7e70979560df7_517742_Mule,"[0, 0, 0, 0]"
Tree,1,5,0,46,Male,CrowdWorks,3,5,8,5,5,02b7e70979560df7.jpg,Tree,OpenImages,02b7e70979560df7_517742_Tree,"[0, 0, 0, 0]"
Person,0,4,1,32,Female,Prolific,2,4,10,7,7,02b7e70979560df7.jpg,Person,OpenImages,02b7e70979560df7_5b87c3f9e88caf0001b79375_Person,"[0, 0, 0, 0]"
Skyscraper,1,4,1,51,Female,CrowdWorks,5,7,9,7,8,bc527ffd7ef408bb.jpg,Skyscraper,OpenImages,bc527ffd7ef408bb_373913_Skyscraper,"[0, 0, 0, 0]"
Tower,1,4,1,51,Female,CrowdWorks,5,7,9,7,8,bc527ffd7ef408bb.jpg,Tower,OpenImages,bc527ffd7ef408bb_373913_Tower,"[0, 0, 0, 0]"
Tower,1,3,1,20,Male,Prolific,8,7,5,2,9,bc527ffd7ef408bb.jpg,Tower,OpenImages,bc527ffd7ef408bb_5ef4e343d0a7dd102a3c50b8_Tower,"[0, 0, 0, 0]"
Human face,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human face,OpenImages,204ddb40982865e6_1405341_Human face,"[0, 0, 0, 0]"
Human hair,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human hair,OpenImages,204ddb40982865e6_1405341_Human hair,"[0, 0, 0, 0]"
Glasses,0,4,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Glasses,OpenImages,204ddb40982865e6_1405341_Glasses,"[0, 0, 0, 0]"
Girl,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Girl,OpenImages,204ddb40982865e6_1405341_Girl,"[0, 0, 0, 0]"
Sunglasses,0,4,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Sunglasses,OpenImages,204ddb40982865e6_1405341_Sunglasses,"[0, 0, 0, 0]"
Person,1,2,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Person,OpenImages,204ddb40982865e6_1405341_Person,"[0, 0, 0, 0]"
Human nose,0,0,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human nose,OpenImages,204ddb40982865e6_1405341_Human nose,"[0, 0, 0, 0]"
Clothing,0,0,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Clothing,OpenImages,204ddb40982865e6_1405341_Clothing,"[0, 0, 0, 0]"
Human body,0,3,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human body,OpenImages,204ddb40982865e6_1405341_Human body,"[0, 0, 0, 0]"
Human head,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human head,OpenImages,204ddb40982865e6_1405341_Human head,"[0, 0, 0, 0]"
Human eye,0,4,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human eye,OpenImages,204ddb40982865e6_1405341_Human eye,"[0, 0, 0, 0]"
Human hand,0,0,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human hand,OpenImages,204ddb40982865e6_1405341_Human hand,"[0, 0, 0, 0]"
Mammal,0,5,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Mammal,OpenImages,204ddb40982865e6_1405341_Mammal,"[0, 0, 0, 0]"
Human ear,0,0,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human ear,OpenImages,204ddb40982865e6_1405341_Human ear,"[0, 0, 0, 0]"
Human mouth,0,0,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human mouth,OpenImages,204ddb40982865e6_1405341_Human mouth,"[0, 0, 0, 0]"
Human beard,0,1,2,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Human beard,OpenImages,204ddb40982865e6_1405341_Human beard,"[0, 0, 0, 0]"
Woman,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Woman,OpenImages,204ddb40982865e6_1405341_Woman,"[0, 0, 0, 0]"
Man,0,6,1,34,Female,CrowdWorks,3,8,6,9,9,204ddb40982865e6.jpg,Man,OpenImages,204ddb40982865e6_1405341_Man,"[0, 0, 0, 0]"
identity,1,3,1,32,Female,CrowdWorks,4,7,5,9,6,10eb9f46843bd20c.jpg,identity,OpenImages,10eb9f46843bd20c_2051252_identity,"[0, 0, 0, 0]"
identity,1,6,0,33,Male,Prolific,7,6,7,5,8,10eb9f46843bd20c.jpg,identity,OpenImages,10eb9f46843bd20c_59e7232f24d7bf00012f112e_identity,"[0, 0, 0, 0]"
printer,0,4,0,56,Female,CrowdWorks,8,7,10,6,9,384235.jpg,printer,LVIS,384235_163607_printer,"[0, 0, 0, 0]"
desk,1,5,0,56,Female,CrowdWorks,8,7,10,6,9,384235.jpg,desk,LVIS,384235_163607_desk,"[0, 0, 0, 0]"
Car,0,4,1,34,Female,CrowdWorks,3,8,6,9,9,0c5d3feefa49ac30.jpg,Car,OpenImages,0c5d3feefa49ac30_1405341_Car,"[0, 0, 0, 0]"
Vehicle registration plate,0,4,0,34,Female,CrowdWorks,3,8,6,9,9,0c5d3feefa49ac30.jpg,Vehicle registration plate,OpenImages,0c5d3feefa49ac30_1405341_Vehicle registration plate,"[0, 0, 0, 0]"
Plant,1,1,0,29,Female,Prolific,5,4,7,9,7,0c5d3feefa49ac30.jpg,Plant,OpenImages,0c5d3feefa49ac30_600cad455d210d00096495d7_Plant,"[0, 0, 0, 0]"
Infant bed,3,4,0,27,Female,CrowdWorks,8,7,6,7,3,29614732b9d68b94.jpg,Infant bed,OpenImages,29614732b9d68b94_5024425_Infant bed,"[0, 0, 0, 0]"
Toy,3,3,1,27,Female,CrowdWorks,8,7,6,7,3,29614732b9d68b94.jpg,Toy,OpenImages,29614732b9d68b94_5024425_Toy,"[0, 0, 0, 0]"
Person,0,5,0,45,Male,CrowdWorks,5,5,8,6,4,70f4fa357528a5d3.jpg,Person,OpenImages,70f4fa357528a5d3_297683_Person,"[0, 0, 0, 0]"
Clothing,0,4,0,45,Male,CrowdWorks,5,5,8,6,4,70f4fa357528a5d3.jpg,Clothing,OpenImages,70f4fa357528a5d3_297683_Clothing,"[0, 0, 0, 0]"
license_plate,0,6,0,45,Male,CrowdWorks,3,4,4,8,6,131764.jpg,license_plate,LVIS,131764_269708_license_plate,"[0, 0, 0, 0]"
license_plate,4,3,1,25,Female,Prolific,4,7,6,9,6,131764.jpg,license_plate,LVIS,131764_6065c10d895a7958a7b94c46_license_plate,"[0, 0, 0, 0]"
Dog,2,3,1,47,Male,CrowdWorks,4,6,5,9,2,0563ca24a04474c0.jpg,Dog,OpenImages,0563ca24a04474c0_yosutebito_Dog,"[0, 0, 0, 0]"
Dog,0,4,1,52,Male,Prolific,5,9,10,6,7,0563ca24a04474c0.jpg,Dog,OpenImages,0563ca24a04474c0_5991b5cd7d29e700017303bb_Dog,"[0, 0, 0, 0]"
Clothing,2,5,0,63,Male,Prolific,10,6,10,2,7,0010c714a5da358a.jpg,Clothing,OpenImages,0010c714a5da358a_5c113e9998e7810001837291_Clothing,"[0, 0, 0, 0]"
Kitchen appliance,4,0,3,44,Female,Prolific,8,10,10,5,6,3e5b15d6fbdb70d2.jpg,Kitchen appliance,OpenImages,3e5b15d6fbdb70d2_5d270f5b1f68140019729a94_Kitchen appliance,"[0, 0, 0, 0]"
Kitchen appliance,2,1,2,37,Male,CrowdWorks,3,8,7,7,5,2e337021bb7b4c90.jpg,Kitchen appliance,OpenImages,2e337021bb7b4c90_4103250_Kitchen appliance,"[0, 0, 0, 0]"
Home appliance,1,2,2,37,Male,CrowdWorks,3,8,7,7,5,2e337021bb7b4c90.jpg,Home appliance,OpenImages,2e337021bb7b4c90_4103250_Home appliance,"[0, 0, 0, 0]"
Human face,0,6,0,63,Female,CrowdWorks,4,5,9,4,6,05a1e3bdf907e2a0.jpg,Human face,OpenImages,05a1e3bdf907e2a0_3171737_Human face,"[0, 0, 0, 0]"
Person,0,6,0,63,Female,CrowdWorks,4,5,9,4,6,05a1e3bdf907e2a0.jpg,Person,OpenImages,05a1e3bdf907e2a0_3171737_Person,"[0, 0, 0, 0]"
Human head,0,4,0,63,Female,CrowdWorks,4,5,9,4,6,05a1e3bdf907e2a0.jpg,Human head,OpenImages,05a1e3bdf907e2a0_3171737_Human head,"[0, 0, 0, 0]"
Human eye,0,6,0,63,Female,CrowdWorks,4,5,9,4,6,05a1e3bdf907e2a0.jpg,Human eye,OpenImages,05a1e3bdf907e2a0_3171737_Human eye,"[0, 0, 0, 0]"
license_plate,1,5,1,45,Female,CrowdWorks,3,8,10,8,6,125699.jpg,license_plate,LVIS,125699_2268853_license_plate,"[0, 0, 0, 0]"
lamppost,1,2,3,45,Female,CrowdWorks,3,8,10,8,6,125699.jpg,lamppost,LVIS,125699_2268853_lamppost,"[0, 0, 0, 0]"
bus_(vehicle),1,3,3,45,Female,CrowdWorks,3,8,10,8,6,125699.jpg,bus_(vehicle),LVIS,125699_2268853_bus_(vehicle),"[0, 0, 0, 0]"
Chair,1,1,2,22,Female,CrowdWorks,2,6,5,9,7,13cfe71ebbf0ae3b.jpg,Chair,OpenImages,13cfe71ebbf0ae3b_2358688_Chair,"[0, 0, 0, 0]"
Kitchen & dining room table,1,1,2,22,Female,CrowdWorks,2,6,5,9,7,13cfe71ebbf0ae3b.jpg,Kitchen & dining room table,OpenImages,13cfe71ebbf0ae3b_2358688_Kitchen & dining room table,"[0, 0, 0, 0]"
necklace,0,3,1,41,Female,CrowdWorks,5,5,7,8,7,151327.jpg,necklace,LVIS,151327_kakao1112_necklace,"[0, 0, 0, 0]"
earring,0,3,1,41,Female,CrowdWorks,5,5,7,8,7,151327.jpg,earring,LVIS,151327_kakao1112_earring,"[0, 0, 0, 0]"
suitcase,0,3,1,41,Female,CrowdWorks,5,5,7,8,7,151327.jpg,suitcase,LVIS,151327_kakao1112_suitcase,"[0, 0, 0, 0]"
Human hair,2,4,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Human hair,OpenImages,46afaf945caee54c_2912766_Human hair,"[0, 0, 0, 0]"
Human leg,2,3,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Human leg,OpenImages,46afaf945caee54c_2912766_Human leg,"[0, 0, 0, 0]"
Clothing,2,4,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Clothing,OpenImages,46afaf945caee54c_2912766_Clothing,"[0, 0, 0, 0]"
Human body,2,3,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Human body,OpenImages,46afaf945caee54c_2912766_Human body,"[0, 0, 0, 0]"
Human eye,0,4,0,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Human eye,OpenImages,46afaf945caee54c_2912766_Human eye,"[0, 0, 0, 0]"
Couch,2,2,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Couch,OpenImages,46afaf945caee54c_2912766_Couch,"[0, 0, 0, 0]"
Laptop,2,4,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Laptop,OpenImages,46afaf945caee54c_2912766_Laptop,"[0, 0, 0, 0]"
Human arm,2,3,1,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Human arm,OpenImages,46afaf945caee54c_2912766_Human arm,"[0, 0, 0, 0]"
Woman,0,6,0,57,Male,CrowdWorks,5,7,7,5,7,46afaf945caee54c.jpg,Woman,OpenImages,46afaf945caee54c_2912766_Woman,"[0, 0, 0, 0]"
Human face,0,3,1,28,Female,CrowdWorks,4,5,5,9,9,04833bdaa8c68594.jpg,Human face,OpenImages,04833bdaa8c68594_2600289_Human face,"[0, 0, 0, 0]"
Human hair,0,4,1,28,Female,CrowdWorks,4,5,5,9,9,04833bdaa8c68594.jpg,Human hair,OpenImages,04833bdaa8c68594_2600289_Human hair,"[0, 0, 0, 0]"
Car,0,5,0,28,Female,CrowdWorks,4,5,5,9,9,04833bdaa8c68594.jpg,Car,OpenImages,04833bdaa8c68594_2600289_Car,"[0, 0, 0, 0]"
Human head,0,5,1,28,Female,CrowdWorks,4,5,5,9,9,04833bdaa8c68594.jpg,Human head,OpenImages,04833bdaa8c68594_2600289_Human head,"[0, 0, 0, 0]"
Vehicle,0,4,1,28,Female,CrowdWorks,4,5,5,9,9,04833bdaa8c68594.jpg,Vehicle,OpenImages,04833bdaa8c68594_2600289_Vehicle,"[0, 0, 0, 0]"
Human face,0,5,1,45,Male,Prolific,5,8,10,5,6,04833bdaa8c68594.jpg,Human face,OpenImages,04833bdaa8c68594_5da760eae8174b001640d369_Human face,"[0, 0, 0, 0]"
Car,4,4,1,45,Male,Prolific,5,8,10,5,6,04833bdaa8c68594.jpg,Car,OpenImages,04833bdaa8c68594_5da760eae8174b001640d369_Car,"[0, 0, 0, 0]"
Human head,0,5,1,45,Male,Prolific,5,8,10,5,6,04833bdaa8c68594.jpg,Human head,OpenImages,04833bdaa8c68594_5da760eae8174b001640d369_Human head,"[0, 0, 0, 0]"
